Easting;Northing;Species;DamageClass;AgeClass;CrownStatus;Mixture;Setup_Aufbau
3.434.234,00;5.301.139,20;2;2;0;0;0;0
3.434.260,20;5.301.140,30;2;2;0;0;0;0
3.434.286,30;5.301.141,50;2;2;0;0;0;0
3.434.338,60;5.301.143,70;2;2;0;0;0;0
3.434.364,80;5.301.144,80;2;1;0;0;0;0
3.434.391,00;5.301.146,00;6;3;0;0;0;0
3.434.417,30;5.301.147,20;2;1;0;0;0;0
3.434.443,70;5.301.148,40;2;1;0;0;0;0
3.434.470,50;5.301.149,80;2;2;0;0;0;0
3.434.497,70;5.301.151,30;2;1;0;0;0;0
3.434.525,50;5.301.153,00;2;3;0;0;0;0
3.434.553,70;5.301.154,70;2;2;0;0;0;0
3.434.582,30;5.301.156,40;2;1;0;0;0;0
3.434.610,90;5.301.158,20;2;1;0;0;0;0
3.434.639,60;5.301.159,90;2;1;0;0;0;0
3.433.739,60;5.301.087,60;2;2;0;0;0;0
3.433.762,90;5.301.088,80;2;3;0;0;0;0
3.433.786,40;5.301.090,00;2;4;0;0;0;0
3.433.810,00;5.301.091,30;2;2;0;0;0;0
3.433.833,60;5.301.092,50;2;3;0;0;0;0
3.433.857,40;5.301.093,80;2;3;0;0;0;0
3.433.929,60;5.301.097,70;2;3;0;0;0;0
3.433.954,10;5.301.099,00;2;3;0;0;0;0
3.433.978,80;5.301.100,40;2;3;0;0;0;0
3.434.003,70;5.301.101,70;2;3;0;0;0;0
3.434.028,90;5.301.102,90;2;3;0;0;0;0
3.434.054,20;5.301.104,20;2;3;0;0;0;0
3.434.105,40;5.301.106,70;2;3;0;0;0;0
3.434.131,20;5.301.107,90;2;3;0;0;0;0
3.434.157,00;5.301.109,10;2;3;0;0;0;0
3.434.183,00;5.301.110,30;2;3;0;0;0;0
3.434.209,00;5.301.111,50;2;3;0;0;0;0
3.434.235,00;5.301.112,60;2;3;0;0;0;0
3.434.261,00;5.301.113,70;2;2;0;0;0;0
3.434.287,10;5.301.114,80;2;2;0;0;0;0
3.434.339,10;5.301.117,10;2;1;0;0;0;0
3.434.365,20;5.301.118,20;2;2;0;0;0;0
3.434.391,40;5.301.119,40;2;1;0;0;0;0
3.434.417,60;5.301.120,60;2;1;0;0;0;0
3.434.443,90;5.301.121,80;2;1;0;0;0;0
3.434.470,70;5.301.123,10;2;1;0;0;0;0
3.434.497,80;5.301.124,60;8;2;0;0;0;0
3.434.525,60;5.301.126,10;2;2;0;0;0;0
3.434.553,70;5.301.127,70;2;1;0;0;0;0
3.434.582,40;5.301.129,40;2;1;0;0;0;0
3.434.611,20;5.301.131,00;2;1;0;0;0;0
3.434.640,00;5.301.132,70;2;1;0;0;0;0
3.433.741,10;5.301.062,80;2;2;0;0;0;0
3.433.764,60;5.301.063,90;2;2;0;0;0;0
3.433.788,20;5.301.065,10;2;3;0;0;0;0
3.433.811,80;5.301.066,20;2;3;0;0;0;0
3.433.835,40;5.301.067,40;2;3;0;0;0;0
3.433.859,10;5.301.068,60;2;3;0;0;0;0
3.433.907,10;5.301.071,00;2;2;0;0;0;0
3.433.931,40;5.301.072,20;2;3;0;0;0;0
3.433.955,90;5.301.073,40;2;3;0;0;0;0
3.433.980,60;5.301.074,60;8;2;0;0;0;0
3.434.005,50;5.301.075,80;2;2;0;0;0;0
3.434.030,70;5.301.077,00;2;2;0;0;0;0
3.434.055,90;5.301.078,20;2;2;0;0;0;0
3.434.081,40;5.301.079,40;2;3;0;0;0;0
3.434.158,40;5.301.082,90;2;3;0;0;0;0
3.434.184,30;5.301.084,10;2;2;0;0;0;0
3.434.210,10;5.301.085,20;2;2;0;0;0;0
3.434.236,00;5.301.086,30;2;2;0;0;0;0
3.434.261,90;5.301.087,40;2;1;0;0;0;0
3.434.287,80;5.301.088,50;2;3;0;0;0;0
3.434.339,70;5.301.090,80;2;2;0;0;0;0
